FullName,PhotoUrl,ShootingTotal,PassingTotal,PaceTotal,DefendingTotal,DribblingTotal,PhysicalityTotal,BestPosition
Paul McGowan,https://cdn.sofifa.com/players/173/654/22_60.png,62,63,72,53,71,60,CAM
Vladimir Koman,https://cdn.sofifa.com/players/185/173/22_60.png,62,69,66,51,64,56,CAM
Mark McGuinness,https://cdn.sofifa.com/players/248/405/22_60.png,35,46,54,64,56,69,CB
Sebastian Jakubiak,https://cdn.sofifa.com/players/239/957/22_60.png,55,60,66,62,66,61,CDM
Brent Kallman,https://cdn.sofifa.com/players/237/397/22_60.png,39,49,49,63,36,79,CB
Glenn Morris,https://cdn.sofifa.com/players/019/541/22_60.png,62,62,65,33,64,63,GK
Besim Šerbečić,https://cdn.sofifa.com/players/242/260/22_60.png,25,41,64,64,45,69,CB
David Mendoza,https://cdn.sofifa.com/players/225/876/22_60.png,34,51,58,63,57,69,LB
Marco Pašalić,https://cdn.sofifa.com/players/262/740/22_60.png,59,59,75,32,64,57,LM
Jack Hingert,https://cdn.sofifa.com/players/193/875/22_60.png,37,57,70,59,62,67,RWB
Diego Duarte,https://cdn.sofifa.com/players/258/194/22_60.png,67,48,72,18,62,58,ST
Hee Hoon Han,https://cdn.sofifa.com/players/232/338/22_60.png,23,35,53,64,41,75,CB
Andrew Tarbell,https://cdn.sofifa.com/players/232/082/22_60.png,63,58,63,29,69,62,GK
Takahiro Yanagi,https://cdn.sofifa.com/players/232/850/22_60.png,36,51,81,58,54,73,RB
Sam Hughes,https://cdn.sofifa.com/players/239/506/22_60.png,33,44,54,63,45,71,CB
Mickel Miller,https://cdn.sofifa.com/players/242/322/22_60.png,62,55,73,43,64,58,LM
William Douglas de Amorim,https://cdn.sofifa.com/players/233/876/22_60.png,61,61,78,37,65,55,LM
Sam Foley,https://cdn.sofifa.com/players/171/923/22_60.png,57,63,59,61,63,67,CM
Enzo Cornelisse,https://cdn.sofifa.com/players/258/451/22_60.png,32,52,66,63,53,61,CB
David Forniés Aquilino,https://cdn.sofifa.com/players/201/364/22_60.png,31,50,77,58,55,72,LB
Assan Ceesay,https://cdn.sofifa.com/players/220/306/22_60.png,61,54,88,33,61,64,ST
Blake Bodily,https://cdn.sofifa.com/players/255/887/22_60.png,56,61,71,54,64,54,LM
Bruno Miguel Carvalho Andrade,https://cdn.sofifa.com/players/205/712/22_60.png,59,58,82,46,66,52,RM
Renat Dadashov,https://cdn.sofifa.com/players/238/736/22_60.png,63,49,65,24,59,62,ST
Pablo Gálvez Miranda,https://cdn.sofifa.com/players/264/081/22_60.png,63,46,67,19,64,63,ST
Homer Martínez,https://cdn.sofifa.com/players/235/665/22_60.png,33,51,71,63,49,67,CB
Rubén Bentancourt,https://cdn.sofifa.com/players/205/972/22_60.png,61,52,73,25,62,62,ST
Sebastián Ramírez,https://cdn.sofifa.com/players/255/972/22_60.png,54,57,75,32,64,56,RM
Carlos Espinoza,https://cdn.sofifa.com/players/253/329/22_60.png,57,66,66,48,60,65,GK
Renato César,https://cdn.sofifa.com/players/237/713/22_60.png,62,48,69,24,66,62,ST
Brandon Hanlan,https://cdn.sofifa.com/players/230/897/22_60.png,62,50,84,35,64,71,ST
Rodrigo Muñoz,https://cdn.sofifa.com/players/218/867/22_60.png,63,62,61,45,63,64,GK
Maximiliano Moreira,https://cdn.sofifa.com/players/262/387/22_60.png,40,57,76,57,60,63,LB
Abdulrahman Al Barakah,https://cdn.sofifa.com/players/210/924/22_60.png,46,55,57,59,61,72,CDM
Franjo Prce,https://cdn.sofifa.com/players/231/916/22_60.png,40,51,66,64,51,71,CB
Hang Li,https://cdn.sofifa.com/players/233/196/22_60.png,61,65,68,58,60,71,RM
Abdulmalek Al Shammari,https://cdn.sofifa.com/players/235/500/22_60.png,49,57,77,53,64,66,LM
Ahmet Eyüp Türkaslan,https://cdn.sofifa.com/players/236/780/22_60.png,62,64,64,15,68,55,GK
Julien Célestine,https://cdn.sofifa.com/players/239/596/22_60.png,26,37,49,65,45,67,CB
Marcel Benger,https://cdn.sofifa.com/players/241/900/22_60.png,42,58,56,62,60,62,CDM
José Vitor dos Santos,https://cdn.sofifa.com/players/263/661/22_60.png,56,53,75,26,68,48,LM
Sandi Križman,https://cdn.sofifa.com/players/221/421/22_60.png,61,60,71,30,61,61,RW
Nagisa Sakurauchi,https://cdn.sofifa.com/players/232/686/22_60.png,44,60,66,60,65,68,RM
Christopher Cvetko,https://cdn.sofifa.com/players/262/383/22_60.png,53,60,60,56,61,73,CM
Samuel Casado Conde,https://cdn.sofifa.com/players/226/288/22_60.png,62,59,63,45,69,57,GK
Tommy Smith,https://cdn.sofifa.com/players/186/352/22_60.png,37,50,48,62,51,75,CB
Paul Downing,https://cdn.sofifa.com/players/192/496/22_60.png,37,49,53,63,45,72,CB
Pablo Mancilla,https://cdn.sofifa.com/players/259/824/22_60.png,48,58,75,31,63,46,RM
Johan Arath Gómez,https://cdn.sofifa.com/players/263/153/22_60.png,62,51,80,38,68,64,ST
Chaouki Ben Saada,https://cdn.sofifa.com/players/111/503/22_60.png,62,65,53,41,66,41,RM
Michael Steinwender,https://cdn.sofifa.com/players/245/233/22_60.png,29,42,50,63,39,70,CB
Alex Rodman,https://cdn.sofifa.com/players/202/482/22_60.png,57,60,68,57,64,66,RWB
Jonathan Lindseth,https://cdn.sofifa.com/players/221/938/22_60.png,56,60,71,58,69,67,RM
Lucas Beltrán,https://cdn.sofifa.com/players/246/258/22_60.png,61,54,67,22,63,59,ST
Yohan Bilingi,https://cdn.sofifa.com/players/252/047/22_60.png,40,48,67,62,54,66,CB
Koki Otani,https://cdn.sofifa.com/players/232/365/22_60.png,65,70,62,42,67,60,GK
Ersin Zehir,https://cdn.sofifa.com/players/242/319/22_60.png,38,55,66,63,59,65,CB
Jamie Brandon,https://cdn.sofifa.com/players/238/765/22_60.png,44,58,79,57,65,63,RM
Mark Marshall,https://cdn.sofifa.com/players/189/868/22_60.png,57,58,80,51,67,61,RM
James Hill,https://cdn.sofifa.com/players/248/492/22_60.png,25,43,67,62,48,69,CB
Malvind Benning,https://cdn.sofifa.com/players/208/812/22_60.png,58,59,75,57,62,67,LWB
Simone Muratore,https://cdn.sofifa.com/players/257/195/22_60.png,50,62,61,61,59,58,CDM
Carl Rushworth,https://cdn.sofifa.com/players/263/339/22_60.png,62,63,63,36,65,62,GK
Armando Dobra,https://cdn.sofifa.com/players/247/722/22_60.png,55,57,82,38,67,47,CAM
Nicolas Bürgy,https://cdn.sofifa.com/players/224/426/22_60.png,29,43,48,64,46,65,CB
Ivan Mamut,https://cdn.sofifa.com/players/259/241/22_60.png,63,57,64,25,59,77,ST
Charlie Cresswell,https://cdn.sofifa.com/players/254/121/22_60.png,27,48,52,63,49,63,CB
Christopher Montaña,https://cdn.sofifa.com/players/253/609/22_60.png,35,53,59,58,50,72,CDM
Dylan Mbayo,https://cdn.sofifa.com/players/247/209/22_60.png,59,56,79,29,71,40,CAM
Arda Akbulut,https://cdn.sofifa.com/players/240/809/22_60.png,61,59,65,34,68,64,GK
Jonás Acevedo,https://cdn.sofifa.com/players/237/993/22_60.png,64,58,69,30,66,52,CAM
Sebastián Cocimano,https://cdn.sofifa.com/players/258/216/22_60.png,63,50,49,32,57,67,ST
Brek Shea,https://cdn.sofifa.com/players/186/536/22_60.png,59,60,66,57,62,71,LM
Billy Mitchell,https://cdn.sofifa.com/players/251/560/22_60.png,52,61,67,50,66,54,CM
Riyadh Sharahili,https://cdn.sofifa.com/players/229/800/22_60.png,49,57,49,58,60,75,CDM
Lee Desmond,https://cdn.sofifa.com/players/226/728/22_60.png,44,56,52,62,58,70,CB
Juan Pablo Passaglia,https://cdn.sofifa.com/players/251/303/22_60.png,52,60,67,55,60,60,CM
Hernán López Muñoz,https://cdn.sofifa.com/players/248/231/22_60.png,58,58,77,35,69,48,CAM
Jesús Rodríguez Ortuño,https://cdn.sofifa.com/players/244/647/22_60.png,58,59,74,23,65,38,LM
Jae Woo Bae,https://cdn.sofifa.com/players/227/751/22_60.png,28,49,77,59,59,67,RB
Raúl Torrente Navarro,https://cdn.sofifa.com/players/264/103/22_60.png,31,49,57,64,42,66,CB
Élie Youan,https://cdn.sofifa.com/players/238/509/22_60.png,63,49,73,29,64,54,ST
Paul Arano,https://cdn.sofifa.com/players/246/189/22_60.png,61,54,66,35,66,66,LM
André Senghor,https://cdn.sofifa.com/players/180/902/22_60.png,65,41,49,22,58,66,ST
Sibiry Keita,https://cdn.sofifa.com/players/247/213/22_60.png,56,59,74,24,67,48,CAM
Glody Likonza,https://cdn.sofifa.com/players/264/428/22_60.png,56,62,65,38,65,52,CAM
Adam Ståhl,https://cdn.sofifa.com/players/242/055/22_60.png,58,57,71,48,64,58,LM
Ryoma Watanabe,https://cdn.sofifa.com/players/239/495/22_60.png,63,60,76,45,66,61,RM
Chang Moo Shin,https://cdn.sofifa.com/players/221/831/22_60.png,58,61,67,44,65,66,CAM
Alejandro Domingo Gómez,https://cdn.sofifa.com/players/263/559/22_60.png,59,62,66,50,64,61,CAM
Josh Key,https://cdn.sofifa.com/players/244/870/22_60.png,49,49,81,55,60,57,RWB
Jake Brimmer,https://cdn.sofifa.com/players/240/262/22_60.png,54,64,68,56,65,60,CM
Jimmy Valoyes,https://cdn.sofifa.com/players/239/750/22_60.png,28,41,59,66,40,61,CB
Elías Rafn Ólafsson,https://cdn.sofifa.com/players/246/704/22_60.png,64,51,63,31,65,64,GK
Zhen Wei,https://cdn.sofifa.com/players/241/328/22_60.png,34,54,66,63,51,70,CDM
Sean Kelly,https://cdn.sofifa.com/players/210/352/22_60.png,38,55,68,59,57,64,LB
Chang Jin Moon,https://cdn.sofifa.com/players/208/304/22_60.png,60,65,70,42,69,52,CAM
Cristhian Arabe,https://cdn.sofifa.com/players/254/383/22_60.png,54,63,62,54,70,61,CAM
Mohammed Jamal,https://cdn.sofifa.com/players/251/055/22_60.png,46,59,65,60,64,56,CDM
Javier Altamirano,https://cdn.sofifa.com/players/238/767/22_60.png,61,58,74,50,67,56,CAM
Ryan Moon,https://cdn.sofifa.com/players/235/439/22_60.png,58,44,77,27,66,59,ST
Ali Lajami,https://cdn.sofifa.com/players/228/783/22_60.png,47,53,76,63,55,70,CB
Blair Spittal,https://cdn.sofifa.com/players/223/663/22_60.png,57,57,80,46,63,56,RM
Andreas Katsantonis,https://cdn.sofifa.com/players/262/575/22_60.png,59,50,63,19,66,58,ST
Javier Llabrés Exposito,https://cdn.sofifa.com/players/264/110/22_60.png,57,55,81,31,66,51,RM
Igor Armaș,https://cdn.sofifa.com/players/190/637/22_60.png,39,49,34,62,37,78,CB
Segundo Portocarrero,https://cdn.sofifa.com/players/254/893/22_60.png,57,56,78,58,66,58,LM
Bryan Alceus,https://cdn.sofifa.com/players/252/077/22_60.png,45,58,67,59,63,67,CDM
Nicolas Bruneel,https://cdn.sofifa.com/players/256/678/22_60.png,60,58,73,60,63,57,CAM
James Wilson,https://cdn.sofifa.com/players/173/734/22_60.png,38,50,53,63,53,74,CB
Jeron Al-Hazaimeh,https://cdn.sofifa.com/players/204/175/22_60.png,40,51,68,61,56,72,CB
Steffen Schäfer,https://cdn.sofifa.com/players/239/752/22_60.png,28,45,58,63,49,68,CB
Ivan Šaranić,https://cdn.sofifa.com/players/260/232/22_60.png,56,62,72,28,72,61,CAM
Philipp Pomer,https://cdn.sofifa.com/players/263/049/22_60.png,56,63,72,40,61,43,CAM
Elliot Embleton,https://cdn.sofifa.com/players/235/913/22_60.png,58,61,72,52,64,56,CAM
Luis Carbonell Artajona,https://cdn.sofifa.com/players/258/185/22_60.png,64,51,74,19,70,43,ST
Mateo Bajamich,https://cdn.sofifa.com/players/259/209/22_60.png,60,52,70,27,63,59,RW
Keith Watson,https://cdn.sofifa.com/players/185/226/22_60.png,48,56,50,63,57,71,CB
Dejan Tetek,https://cdn.sofifa.com/players/258/442/22_60.png,46,57,68,61,61,63,CDM
Saulo Rodrigues da Silva,https://cdn.sofifa.com/players/263/563/22_60.png,60,55,76,21,60,74,ST
Tom Boere,https://cdn.sofifa.com/players/207/499/22_60.png,64,52,67,30,59,74,ST
Milan Kocić,https://cdn.sofifa.com/players/251/787/22_60.png,34,53,72,61,55,63,LB
Dae Young Koo,https://cdn.sofifa.com/players/221/836/22_60.png,38,51,72,58,63,66,RWB
George Marsh,https://cdn.sofifa.com/players/241/036/22_60.png,44,57,58,60,57,64,RB
Greg Bolger,https://cdn.sofifa.com/players/182/156/22_60.png,53,58,50,60,56,70,CDM
Patrick Zubczuk,https://cdn.sofifa.com/players/253/836/22_60.png,60,62,63,45,66,58,GK
Leon Clarke,https://cdn.sofifa.com/players/155/533/22_60.png,64,54,49,29,56,71,ST
Ronald Champang,https://cdn.sofifa.com/players/253/325/22_60.png,62,60,72,41,62,66,LM
Christopher Telo,https://cdn.sofifa.com/players/189/325/22_60.png,44,61,73,57,66,62,LB
Bruno Barticciotto,https://cdn.sofifa.com/players/255/373/22_60.png,60,41,74,19,66,56,ST
Justo Giani,https://cdn.sofifa.com/players/261/261/22_60.png,60,59,71,25,62,53,RM
Jostein Gundersen,https://cdn.sofifa.com/players/228/238/22_60.png,35,47,55,63,47,66,CB
William Bianda,https://cdn.sofifa.com/players/239/502/22_60.png,26,42,55,63,49,68,CB
Stéphane Lambèse,https://cdn.sofifa.com/players/243/598/22_60.png,34,52,77,58,58,59,RB
Jack Iredale,https://cdn.sofifa.com/players/248/718/22_60.png,37,51,75,57,58,63,LB
Abdulfatah Adam,https://cdn.sofifa.com/players/242/312/22_60.png,63,47,74,19,64,63,ST
Tae Hee Lee,https://cdn.sofifa.com/players/222/600/22_60.png,61,59,62,44,64,62,GK
Dean Campbell,https://cdn.sofifa.com/players/238/758/22_60.png,54,63,69,54,67,51,LM
Darío Pereira,https://cdn.sofifa.com/players/259/975/22_60.png,54,58,66,38,66,47,RM
Conor Masterson,https://cdn.sofifa.com/players/232/102/22_60.png,33,39,51,65,37,64,CB
Mateusz Cichocki,https://cdn.sofifa.com/players/211/622/22_60.png,25,46,57,64,46,67,CB
Cristian Montaño,https://cdn.sofifa.com/players/193/957/22_60.png,58,58,77,57,65,62,LB
Hyun Sung Kim,https://cdn.sofifa.com/players/191/909/22_60.png,62,51,72,32,60,68,ST
Dilane Bakwa,https://cdn.sofifa.com/players/250/789/22_60.png,52,57,78,30,68,56,RM
Hoon Sung Jung,https://cdn.sofifa.com/players/248/485/22_60.png,47,57,71,27,66,38,RM
Lukáš Hroššo,https://cdn.sofifa.com/players/247/205/22_60.png,64,60,64,16,63,64,GK
Daiki Miya,https://cdn.sofifa.com/players/243/365/22_60.png,28,46,51,60,46,76,CB
Joe Caletti,https://cdn.sofifa.com/players/232/357/22_60.png,42,58,69,60,66,62,RWB
Max Reinthaler,https://cdn.sofifa.com/players/224/421/22_60.png,45,55,65,62,56,72,CB
Ibrahim Diabate,https://cdn.sofifa.com/players/259/747/22_60.png,63,50,78,18,58,66,ST
Jasper ter Heide,https://cdn.sofifa.com/players/251/811/22_60.png,40,57,58,62,57,53,CDM
Josh Eccles,https://cdn.sofifa.com/players/251/555/22_60.png,46,62,72,57,64,65,CDM
Diago Giménez,https://cdn.sofifa.com/players/261/364/22_60.png,54,61,65,61,61,63,CDM
Max Svensson Río,https://cdn.sofifa.com/players/260/340/22_60.png,62,51,80,30,65,58,ST
Emil Frederiksen,https://cdn.sofifa.com/players/244/724/22_60.png,56,61,73,41,69,50,CAM
Robby McCrorie,https://cdn.sofifa.com/players/234/228/22_60.png,63,63,62,32,64,62,GK
Manuel Llano,https://cdn.sofifa.com/players/258/291/22_60.png,42,57,70,56,62,62,RB
Jean Carlos de Brito,https://cdn.sofifa.com/players/244/979/22_60.png,39,57,71,55,62,69,LWB
Dominik Franke,https://cdn.sofifa.com/players/236/787/22_60.png,33,54,66,59,63,64,LB
Robbie McKenzie,https://cdn.sofifa.com/players/231/411/22_60.png,44,56,61,61,56,72,CB
Ramón Juárez,https://cdn.sofifa.com/players/254/087/22_60.png,35,42,63,64,43,72,CB
Joel Cooper,https://cdn.sofifa.com/players/257/415/22_60.png,59,58,77,26,63,55,RM
Danny Rose,https://cdn.sofifa.com/players/203/500/22_60.png,62,53,79,44,65,67,ST
Ben Kantie Karamoko,https://cdn.sofifa.com/players/226/759/22_60.png,29,39,39,63,39,73,CB
Daan Rots,https://cdn.sofifa.com/players/259/563/22_60.png,60,53,81,26,66,52,RW
Amir Richardson,https://cdn.sofifa.com/players/262/236/22_60.png,47,58,59,58,63,68,CM
Lucas Brumme,https://cdn.sofifa.com/players/260/186/22_60.png,57,59,68,45,62,62,LM
Kévin Appin,https://cdn.sofifa.com/players/239/451/22_60.png,55,59,69,62,64,61,CDM
João Pedro Oliveira Gonçalves,https://cdn.sofifa.com/players/251/995/22_60.png,64,57,62,29,56,67,GK
Lars Olden Larsen,https://cdn.sofifa.com/players/255/835/22_60.png,60,56,76,52,65,55,RM
Damjan Pavlovic,https://cdn.sofifa.com/players/256/859/22_60.png,25,55,73,59,61,70,CB
Mees Hilgers,https://cdn.sofifa.com/players/259/163/22_60.png,41,46,69,64,49,62,CB
Pritam Kotal,https://cdn.sofifa.com/players/228/188/22_60.png,39,48,72,60,53,76,RB
Arkadiusz Pyrka,https://cdn.sofifa.com/players/257/886/22_60.png,61,56,81,29,65,39,CAM
Alassane Diaby,https://cdn.sofifa.com/players/236/381/22_60.png,36,49,53,63,60,70,CB
Marco Collao,https://cdn.sofifa.com/players/244/829/22_60.png,59,67,67,37,67,49,CAM
Murat Cem Akpınar,https://cdn.sofifa.com/players/248/157/22_60.png,57,64,72,62,68,46,CAM
Imanol García de Albéniz,https://cdn.sofifa.com/players/263/006/22_60.png,41,57,68,60,62,54,LWB
Patrick Brough,https://cdn.sofifa.com/players/219/486/22_60.png,46,53,67,60,57,76,LWB
Gary O'Neill,https://cdn.sofifa.com/players/221/534/22_60.png,56,62,57,61,60,71,CDM
Robbie Gotts,https://cdn.sofifa.com/players/246/874/22_60.png,55,60,77,54,64,61,RM
Dhaifallah Al Qarni,https://cdn.sofifa.com/players/234/586/22_60.png,55,63,57,60,64,68,CDM
Koki Sugimori,https://cdn.sofifa.com/players/232/538/22_60.png,50,57,82,24,66,47,RM
Nelson Ibáñez,https://cdn.sofifa.com/players/215/130/22_60.png,60,67,61,34,62,66,GK
Ioan Filip,https://cdn.sofifa.com/players/208/474/22_60.png,37,55,45,64,51,67,CB
Koldo Obieta Alberdi,https://cdn.sofifa.com/players/262/490/22_60.png,67,46,49,23,53,62,ST
Zafer Görgen,https://cdn.sofifa.com/players/254/297/22_60.png,60,60,66,25,69,64,GK
Liam Kitching,https://cdn.sofifa.com/players/246/873/22_60.png,29,43,55,62,46,71,CB
Juan Bauza,https://cdn.sofifa.com/players/236/633/22_60.png,59,62,75,40,65,68,RM
Thabiso Monyane,https://cdn.sofifa.com/players/252/248/22_60.png,57,58,79,57,62,61,RM
Justin Che,https://cdn.sofifa.com/players/259/159/22_60.png,25,50,70,60,57,65,RB
Malte Amundsen,https://cdn.sofifa.com/players/242/263/22_60.png,47,53,74,59,63,64,LWB
Tony Rocha,https://cdn.sofifa.com/players/235/607/22_60.png,58,59,63,61,64,70,CM
Ryosuke Tone,https://cdn.sofifa.com/players/246/614/22_60.png,34,49,42,63,43,64,CB
Yerco Oyanedel,https://cdn.sofifa.com/players/245/846/22_60.png,39,55,75,58,61,67,LWB
Josh Grant,https://cdn.sofifa.com/players/233/046/22_60.png,49,56,71,60,60,74,CB
Guillermo De Amores,https://cdn.sofifa.com/players/258/133/22_60.png,63,63,65,24,62,66,GK
Luke Murphy,https://cdn.sofifa.com/players/189/278/22_60.png,60,64,50,60,62,68,CM
Nicolás Serrano Galdeano,https://cdn.sofifa.com/players/259/422/22_60.png,56,54,73,18,71,48,LW
Manuel Molina Rodríguez,https://cdn.sofifa.com/players/257/528/22_60.png,57,57,75,33,63,49,RM
Luciano Vega,https://cdn.sofifa.com/players/263/671/22_60.png,47,65,65,51,62,65,CM
Leonardo Falcón,https://cdn.sofifa.com/players/253/794/22_60.png,35,41,58,65,52,66,CB
Renny Smith,https://cdn.sofifa.com/players/225/781/22_60.png,58,63,65,58,63,62,CM
Enzo Roldán,https://cdn.sofifa.com/players/256/501/22_60.png,61,56,77,35,68,55,RM
Gabriel Martínez Aguilera,https://cdn.sofifa.com/players/264/438/22_60.png,59,58,66,30,65,50,RM
Răzvan Tincu,https://cdn.sofifa.com/players/251/638/22_60.png,43,53,55,62,45,68,CB
Ayman Azhil,https://cdn.sofifa.com/players/258/550/22_60.png,45,62,66,59,66,50,CAM
Serge Arnaud Aka,https://cdn.sofifa.com/players/263/927/22_60.png,47,59,60,60,62,74,CDM
Marcin Flis,https://cdn.sofifa.com/players/213/855/22_60.png,31,50,66,63,53,67,CB
Leon Damer,https://cdn.sofifa.com/players/264/439/22_60.png,58,63,67,36,67,53,CAM
Shihao Piao,https://cdn.sofifa.com/players/233/719/22_60.png,39,54,76,59,49,73,RB
Admiral Muskwe,https://cdn.sofifa.com/players/234/743/22_60.png,61,46,67,31,62,65,ST
Gustaf Norlin,https://cdn.sofifa.com/players/255/479/22_60.png,56,58,73,35,62,55,LM
René Guder,https://cdn.sofifa.com/players/239/352/22_60.png,61,53,83,26,65,68,RM
Ronal Huaccha,https://cdn.sofifa.com/players/254/456/22_60.png,61,51,68,31,63,65,ST
Francisco José Navarro Aliaga,https://cdn.sofifa.com/players/247/138/22_60.png,66,49,58,39,61,50,ST
Luis Ingolotti,https://cdn.sofifa.com/players/243/810/22_60.png,63,55,64,30,64,60,GK
Kane Wilson,https://cdn.sofifa.com/players/235/618/22_60.png,39,53,81,57,63,66,RWB
Carmelo Algarañaz,https://cdn.sofifa.com/players/233/570/22_60.png,66,48,64,27,65,56,ST
George Lapslie,https://cdn.sofifa.com/players/227/682/22_60.png,60,60,66,56,64,65,CM
Andy Boyle,https://cdn.sofifa.com/players/199/010/22_60.png,37,49,49,62,48,77,CB
José Eduardo de Araújo,https://cdn.sofifa.com/players/188/001/22_60.png,57,63,71,50,65,76,CAM
Danny Mullen,https://cdn.sofifa.com/players/244/321/22_60.png,64,50,79,41,62,74,ST
Anthony Hartigan,https://cdn.sofifa.com/players/238/177/22_60.png,55,63,70,57,63,67,CM
Geovani Júnior,https://cdn.sofifa.com/players/264/289/22_60.png,62,61,73,28,66,47,LM
Marko Stamenic,https://cdn.sofifa.com/players/259/680/22_60.png,51,62,68,55,68,66,CAM
Marco Schikora,https://cdn.sofifa.com/players/258/400/22_60.png,50,58,80,61,64,71,CDM
Iñigo Orozco Andonegi,https://cdn.sofifa.com/players/262/496/22_60.png,62,58,58,34,57,71,ST
Tomás Galván,https://cdn.sofifa.com/players/262/240/22_60.png,59,60,75,35,68,45,CAM
Mateusz Czyżycki,https://cdn.sofifa.com/players/257/887/22_60.png,56,58,66,54,63,58,CAM
Mateusz Bartolewski,https://cdn.sofifa.com/players/257/631/22_60.png,40,50,77,58,60,62,LB
Luís Phelipe De Souza Figueiredo,https://cdn.sofifa.com/players/251/999/22_60.png,51,59,75,47,70,66,RM
Miłosz Kozak,https://cdn.sofifa.com/players/256/597/22_60.png,52,59,78,25,64,43,LM
Michael Eberwein,https://cdn.sofifa.com/players/224/597/22_60.png,61,60,72,34,64,68,CAM
Kasper Skaanes,https://cdn.sofifa.com/players/210/773/22_60.png,53,58,72,46,65,56,RM
Jonatan Carmona Álamo,https://cdn.sofifa.com/players/256/128/22_60.png,45,62,63,61,65,48,CDM
Nick Shinton,https://cdn.sofifa.com/players/250/754/22_60.png,62,59,67,25,68,56,GK
Bendik Bye,https://cdn.sofifa.com/players/238/210/22_60.png,63,56,67,24,62,68,ST
Arturo Ortíz,https://cdn.sofifa.com/players/211/074/22_60.png,32,40,44,66,47,61,CB
Benjamin Bertrand,https://cdn.sofifa.com/players/205/441/22_60.png,61,54,68,46,65,59,GK
Oday Dabbagh,https://cdn.sofifa.com/players/264/321/22_60.png,62,58,73,31,65,60,ST
Szymon Czyż,https://cdn.sofifa.com/players/259/456/22_60.png,56,60,68,44,71,63,CAM
Ronan Finn,https://cdn.sofifa.com/players/180/352/22_60.png,58,61,61,55,63,71,RWB
Donervon Daniels,https://cdn.sofifa.com/players/209/493/22_60.png,28,44,67,62,50,71,CB
Mateusz Młyński,https://cdn.sofifa.com/players/245/376/22_60.png,54,57,77,49,63,63,RM
Lee O'Connor,https://cdn.sofifa.com/players/243/840/22_60.png,45,56,70,59,59,61,RB
Chris Lines,https://cdn.sofifa.com/players/172/928/22_60.png,59,65,51,58,61,66,CDM
Abdelrahman Saidi,https://cdn.sofifa.com/players/260/991/22_60.png,53,65,66,33,63,53,RM
Raúl Alberto Lozano,https://cdn.sofifa.com/players/257/407/22_60.png,39,52,73,58,61,60,RWB
Yong Rae Lee,https://cdn.sofifa.com/players/191/871/22_60.png,55,66,53,56,62,74,CM
Kilian Jakob,https://cdn.sofifa.com/players/236/675/22_60.png,37,56,67,57,63,62,LWB
Mehdi Merghem,https://cdn.sofifa.com/players/240/259/22_60.png,57,62,71,48,67,63,CAM
Samy Benchamma,https://cdn.sofifa.com/players/257/411/22_60.png,54,61,70,58,67,64,CAM
Rodrigo Guth,https://cdn.sofifa.com/players/263/556/22_60.png,33,41,63,63,44,65,CB
Charles Dunne,https://cdn.sofifa.com/players/205/956/22_60.png,38,47,78,61,56,67,CB
Ahmed Al Zain,https://cdn.sofifa.com/players/230/532/22_60.png,58,56,76,42,66,61,RW
Mats Haakenstad,https://cdn.sofifa.com/players/202/117/22_60.png,49,52,82,56,58,73,RB
Tobias Schwede,https://cdn.sofifa.com/players/238/981/22_60.png,53,58,79,52,64,66,LM
Alex Cochrane,https://cdn.sofifa.com/players/243/589/22_60.png,41,60,71,58,61,59,LB
Patryk Plewka,https://cdn.sofifa.com/players/245/125/22_60.png,51,57,65,61,59,60,CDM
Murtaz Daushvili,https://cdn.sofifa.com/players/192/901/22_60.png,35,58,61,57,54,59,CDM
Emanuel Emegha,https://cdn.sofifa.com/players/258/437/22_60.png,60,50,73,29,58,63,ST
Matija Horvat,https://cdn.sofifa.com/players/260/741/22_60.png,34,50,65,64,54,68,CB
Mats Deijl,https://cdn.sofifa.com/players/262/790/22_60.png,40,52,61,64,62,59,CB
Mario Gargiulo,https://cdn.sofifa.com/players/224/902/22_60.png,50,61,62,57,64,71,CM
Luke Armstrong,https://cdn.sofifa.com/players/226/950/22_60.png,61,43,72,25,61,69,ST
Gustav Marcussen,https://cdn.sofifa.com/players/238/726/22_60.png,55,56,76,40,65,57,RM
Tetsushi Yamakawa,https://cdn.sofifa.com/players/254/847/22_60.png,22,50,63,61,52,74,CB
Victor Boniface,https://cdn.sofifa.com/players/247/679/22_60.png,63,49,76,25,66,63,ST
Pascal Steinwender,https://cdn.sofifa.com/players/257/150/22_60.png,63,55,84,31,67,52,ST
Alan Marinelli,https://cdn.sofifa.com/players/254/586/22_60.png,58,57,78,35,67,48,LM
Iker Recio Ortega,https://cdn.sofifa.com/players/260/692/22_60.png,40,53,70,62,50,70,CB
Rubén Del Campo,https://cdn.sofifa.com/players/256/852/22_60.png,65,50,69,28,64,54,ST
Andrea Colpani,https://cdn.sofifa.com/players/251/988/22_60.png,54,63,69,54,67,55,CAM
Antonio Perošević,https://cdn.sofifa.com/players/264/693/22_60.png,64,54,76,33,65,62,LM
Abel Bustos,https://cdn.sofifa.com/players/261/620/22_60.png,56,61,66,58,63,49,CAM
Till Schumacher,https://cdn.sofifa.com/players/264/313/22_60.png,47,53,70,60,59,56,LB
Filip Marchwiński,https://cdn.sofifa.com/players/246/649/22_60.png,59,59,68,43,66,59,CAM
Keisuke Kurokawa,https://cdn.sofifa.com/players/254/841/22_60.png,35,58,72,57,59,68,LWB
